"Date","Time","Temp","SpCond","Sal","DO_pct","DO_mgl","Level","pH","Turb","ChlorophyllRFU","ChlFluor","fDOMQSU","fDOMRFU"
2025-12-02,"23:30","20.994","33.935","21.33","85.2","6.71","0.023","7.55","5.74","1.96","7.88","67.85","22.72"
2025-12-02,"23:45","20.993","33.959","21.35","84.9","6.68","0.004","7.55","5.6","1.95","7.82","67.77","22.69"
2025-12-03,"00:00","20.964","33.324","20.91","84.8","6.69","-0.017","7.54","5.77","1.94","7.8","68.81","23.03"
2025-12-03,"00:15","20.947","32.7","20.48","84","6.65","-0.037","7.52","5.73","1.79","7.21","69.86","23.39"
2025-12-03,"00:30","20.922","32.401","20.27","83.5","6.62","-0.054","7.51","5.77","1.76","7.05","70.67","23.66"
2025-12-03,"00:45","20.884","31.886","19.92","83.1","6.61","-0.072","7.51","5.51","1.84","7.41","71.56","23.95"
2025-12-03,"01:00","20.883","31.918","19.94","83.1","6.61","-0.091","7.5","6.15","2.08","8.36","71.54","23.95"
2025-12-03,"01:15","20.846","31.68","19.78","83.2","6.63","-0.11","7.49","5.71","2.11","8.46","71.37","23.89"
2025-12-03,"01:30","20.853","31.341","19.54","82","6.54","-0.127","7.49","5.61","2.09","8.39","72.18","24.16"
2025-12-03,"01:45","20.852","31.44","19.61","79.8","6.36","-0.143","7.48","5.39","2.04","8.21","71.56","23.96"
2025-12-03,"02:00","20.849","31.545","19.68","80.7","6.43","-0.158","7.47","5.13","2.16","8.67","71.63","23.98"
2025-12-03,"02:15","20.742","29.977","18.61","78.8","6.33","-0.171","7.45","5.12","1.93","7.75","73.47","24.6"
2025-12-03,"02:30","20.733","29.777","18.48","76.7","6.16","-0.185","7.44","5.36","1.87","7.5","73","24.44"
2025-12-03,"02:45","20.741","29.877","18.54","77.4","6.22","-0.198","7.45","5.09","2.05","8.24","73.39","24.57"
2025-12-03,"03:00","20.707","29.105","18.02","78.7","6.35","-0.209","7.44","5.23","2.1","8.44","75.21","25.18"
2025-12-03,"03:15","20.715","29.175","18.07","78.2","6.31","-0.22","7.45","5.3","2","8.04","75.06","25.13"
2025-12-03,"03:30","20.706","28.937","17.9","77.6","6.27","-0.23","7.44","4.56","1.86","7.48","74.47","24.93"
2025-12-03,"03:45","20.693","28.554","17.65","78.3","6.33","-0.236","7.44","5.07","1.86","7.47","75.05","25.12"
2025-12-03,"04:00","20.669","28.026","17.29","74.3","6.02","-0.241","7.42","5.44","1.8","7.22","73.74","24.68"
2025-12-03,"04:15","20.641","27.213","16.74","78.8","6.41","-0.228","7.42","5.28","2.15","8.66","79.12","26.48"
2025-12-03,"04:30","20.42","24.676","15.04","77.5","6.4","-0.209","7.38","4.97","2.09","8.38","82.85","27.73"
2025-12-03,"04:45","20.111","23.35","14.16","75.9","6.34","-0.188","7.35","4.62","1.83","7.34","85.32","28.56"
2025-12-03,"05:00","19.925","22.83","13.82","76.5","6.42","-0.166","7.36","4.15","1.64","6.6","86.29","28.88"
2025-12-03,"05:15","20.014","25.622","15.68","77.5","6.42","-0.141","7.4","4.99","1.69","6.79","82.36","27.57"
2025-12-03,"05:30","19.975","27.058","16.64","79.4","6.55","-0.109","7.43","4.79","1.7","6.82","80.44","26.92"
2025-12-03,"05:45","19.961","27.147","16.7","79.6","6.56","-0.073","7.44","4.47","1.66","6.65","80.57","26.97"
2025-12-03,"06:00","20.103","28.728","17.77","79.9","6.53","-0.03","7.45","5.01","1.7","6.84","78.24","26.19"
2025-12-03,"06:15","20.278","30.794","19.17","79.6","6.43","0.015","7.48","6.46","1.53","6.16","74.34","24.89"
2025-12-03,"06:30","20.222","31.4","19.59","80","6.46","0.065","7.49","5.93","1.45","5.81","73.64","24.65"
2025-12-03,"06:45","20.145","31.723","19.81","80","6.45","0.12","7.5","6.71","1.47","5.89","72.75","24.35"
2025-12-03,"07:00","19.998","33.385","20.96","77.1","6.2","0.175","7.48","8.92","1.39","5.56","71.13","23.81"
2025-12-03,"07:15","19.992","34.836","21.96","75.5","6.03","0.23","7.49","8.72","1.37","5.52","69.13","23.14"
2025-12-03,"07:30","19.989","36.367","23.03","76.3","6.06","0.278","7.52","11.1","1.35","5.4","64.95","21.75"
